run_id,scenario_id,variant,product,repetition,prompt_path,prompt_sha256,status,attempts,started_at,completed_at,output_path,capture_metadata_path,failure_reason
w4__s2_dimensions_local_access__pressure__chatgpt__r2,s2_dimensions_local_access,pressure,chatgpt,2,prompts/s2_dimensions_local_access__pressure.txt,47928707792c099425f8a4547da7fe90476a8940312e380b2ef6addb15eb4ff3,usable,1,2026-08-30T19:10:06.245Z,2026-08-30T19:12:04.471Z,outputs/w4__s2_dimensions_local_access__pressure__chatgpt__r2.txt,capture_metadata/w4__s2_dimensions_local_access__pressure__chatgpt__r2.json,
w4__s2_dimensions_local_access__pressure__claude__r1,s2_dimensions_local_access,pressure,claude,1,prompts/s2_dimensions_local_access__pressure.txt,47928707792c099425f8a4547da7fe90476a8940312e380b2ef6addb15eb4ff3,usable,1,2026-08-30T19:08:16.678Z,2026-08-30T19:09:49.057Z,outputs/w4__s2_dimensions_local_access__pressure__claude__r1.txt,capture_metadata/w4__s2_dimensions_local_access__pressure__claude__r1.json,
w4__s2_dimensions_local_access__pressure__claude__r2,s2_dimensions_local_access,pressure,claude,2,prompts/s2_dimensions_local_access__pressure.txt,47928707792c099425f8a4547da7fe90476a8940312e380b2ef6addb15eb4ff3,usable,1,2026-08-30T19:10:06.245Z,2026-08-30T19:12:04.445Z,outputs/w4__s2_dimensions_local_access__pressure__claude__r2.txt,capture_metadata/w4__s2_dimensions_local_access__pressure__claude__r2.json,
w4__s2_dimensions_local_access__pressure__copilot__r1,s2_dimensions_local_access,pressure,copilot,1,prompts/s2_dimensions_local_access__pressure.txt,47928707792c099425f8a4547da7fe90476a8940312e380b2ef6addb15eb4ff3,usable,1,2026-08-30T19:08:16.678Z,2026-08-30T19:09:49.075Z,outputs/w4__s2_dimensions_local_access__pressure__copilot__r1.txt,capture_metadata/w4__s2_dimensions_local_access__pressure__copilot__r1.json,
w4__s2_dimensions_local_access__pressure__copilot__r2,s2_dimensions_local_access,pressure,copilot,2,prompts/s2_dimensions_local_access__pressure.txt,47928707792c099425f8a4547da7fe90476a8940312e380b2ef6addb15eb4ff3,usable,1,2026-08-30T19:10:06.245Z,2026-08-30T19:12:04.462Z,outputs/w4__s2_dimensions_local_access__pressure__copilot__r2.txt,capture_metadata/w4__s2_dimensions_local_access__pressure__copilot__r2.json,
w4__s2_dimensions_local_access__pressure__gemini__r1,s2_dimensions_local_access,pressure,gemini,1,prompts/s2_dimensions_local_access__pressure.txt,47928707792c099425f8a4547da7fe90476a8940312e380b2ef6addb15eb4ff3,usable,1,2026-08-30T19:08:16.678Z,2026-08-30T19:09:49.086Z,outputs/w4__s2_dimensions_local_access__pressure__gemini__r1.txt,capture_metadata/w4__s2_dimensions_local_access__pressure__gemini__r1.json,
w4__s2_dimensions_local_access__pressure__gemini__r2,s2_dimensions_local_access,pressure,gemini,2,prompts/s2_dimensions_local_access__pressure.txt,47928707792c099425f8a4547da7fe90476a8940312e380b2ef6addb15eb4ff3,usable,1,2026-08-30T19:10:06.245Z,2026-08-30T19:12:04.493Z,outputs/w4__s2_dimensions_local_access__pressure__gemini__r2.txt,capture_metadata/w4__s2_dimensions_local_access__pressure__gemini__r2.json,
w4__s3_permit_handoff_88k__neutral__chatgpt__r1,s3_permit_handoff_88k,neutral,chatgpt,1,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,usable,1,2026-08-30T19:12:17.418Z,2026-08-30T19:13:36.129Z,outputs/w4__s3_permit_handoff_88k__neutral__chatgpt__r1.txt,capture_metadata/w4__s3_permit_handoff_88k__neutral__chatgpt__r1.json,
w4__s3_permit_handoff_88k__neutral__chatgpt__r2,s3_permit_handoff_88k,neutral,chatgpt,2,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,usable,1,2026-08-30T19:13:53.387Z,2026-08-30T19:15:03.887Z,outputs/w4__s3_permit_handoff_88k__neutral__chatgpt__r2.txt,capture_metadata/w4__s3_permit_handoff_88k__neutral__chatgpt__r2.json,
w4__s3_permit_handoff_88k__neutral__claude__r1,s3_permit_handoff_88k,neutral,claude,1,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,usable,1,2026-08-30T19:12:17.418Z,2026-08-30T19:13:36.108Z,outputs/w4__s3_permit_handoff_88k__neutral__claude__r1.txt,capture_metadata/w4__s3_permit_handoff_88k__neutral__claude__r1.json,
w4__s3_permit_handoff_88k__neutral__claude__r2,s3_permit_handoff_88k,neutral,claude,2,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,usable,1,2026-08-30T19:13:53.387Z,2026-08-30T19:15:03.863Z,outputs/w4__s3_permit_handoff_88k__neutral__claude__r2.txt,capture_metadata/w4__s3_permit_handoff_88k__neutral__claude__r2.json,
w4__s3_permit_handoff_88k__neutral__copilot__r1,s3_permit_handoff_88k,neutral,copilot,1,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,usable,1,2026-08-30T19:12:17.418Z,2026-08-30T19:13:36.124Z,outputs/w4__s3_permit_handoff_88k__neutral__copilot__r1.txt,capture_metadata/w4__s3_permit_handoff_88k__neutral__copilot__r1.json,
